,Name,Status,Constituency name,Constituency size,Number of electors,1-Employees' salaries,2-Service Contracts,3-Travel,Member,Designated traveller,Dependants,Employees,Member's accommodation expenses,Member's per diem expenses,Member's secondary residence expenses,4-Hospitality,5-Gifts,6-Advertising,7-Printing,Householders,Ten percenters,Other printing related expenses,8-Offices,"Constituency office leases, insurance and utilities","Furniture, furnishing and equipment purchases",Equipment rentals,Informatics and telecommunication equipment purchases,Telecommunication services,Repairs and maintenance,Postage and courier services,Materials and supplies,Training,Total
80,"Desilets,Luc",Active,Rivière-des-Mille-Îles,117km²,"82,372","52,807.81",325.00,,850.70,-,-,-,-,"1,164.19","7,240.00",160.00,55.00,"11,529.46",,"5,495.00",-,255.00,,"8,688.40",-,-,-,164.75,"2,991.25",-,"1,895.02",-,"93,621.58"
81,"Dhaliwal,Sukh",Active,Surrey—Newton,30km²,"67,763","42,417.31","7,695.00",,-,-,-,478.10,-,-,"7,200.00",-,-,"1,740.68",,"6,237.68","2,817.59",-,,"12,226.21",653.00,-,-,651.72,360.82,155.22,591.92,-,"83,225.25"
82,"Dhillon,Anju",Active,Dorval—Lachine—LaSalle,51km²,"85,550","51,499.16",-,,"1,159.90",-,-,-,-,-,"8,237.88",-,-,"1,264.00",,-,-,-,,"7,156.50",-,-,-,365.68,360.82,-,-,-,"70,043.94"
83,"Diotte,Kerry",Active,Edmonton Griesbach,46km²,"83,188","47,133.19",674.74,,"5,896.60",-,-,-,-,-,"4,417.80",-,-,49.99,,"6,694.17",-,-,,"7,980.00",-,-,744.98,630.31,177.96,-,198.71,-,"74,598.45"
84,"Doherty,Todd",Active,Cariboo—Prince George,"83,193km²","84,968","58,647.70",-,,"10,263.60",-,"1,308.84",-,748.21,840.13,"8,594.64","1,695.16",-,340.25,,-,-,-,,"2,850.00",-,447.01,"15,238.57","1,707.44","1,367.88",-,383.10,-,"104,432.53"
85,"Dong,Han",Active,Don Valley North,26km²,"76,151","49,931.24","4,343.15",,-,897.00,-,-,-,-,"7,100.00",-,-,708.63,,"8,700.90",-,-,,"16,110.00",-,-,388.00,571.10,360.83,274.52,-,-,"89,385.37"
86,"Dowdall,Terry",Active,Simcoe—Grey,"1,950km²","115,604","42,858.99",300.00,,533.00,-,-,-,-,393.21,"5,200.00",-,-,"2,137.00",,-,-,-,,"11,969.77",-,-,-,359.95,"5,575.00",-,-,-,"69,326.92"
87,"Dreeshen,Earl",Active,Red Deer—Mountain View,"7,659km²","90,857","46,488.78",889.80,,"1,128.37",-,-,-,-,-,"3,050.00",-,-,"4,187.75",,-,-,-,,"11,725.72",-,750.00,"1,440.00",527.07,-,-,100.24,-,"70,287.73"
88,"Drouin,Francis",Active,Glengarry—Prescott—Russell,"3,018km²","92,555","50,652.41","6,400.00",,666.04,-,-,-,-,-,-,-,-,"5,269.30",,-,-,-,,"9,772.27",-,-,89.98,890.58,698.83,-,219.34,-,"74,658.75"
89,"Dubourg,Emmanuel",Active,Bourassa,14km²,"70,287","51,316.70",138.31,,-,-,-,265.35,-,-,"3,107.27",733.95,304.45,"2,500.96",,-,-,202.00,,"17,351.69",483.41,-,-,557.45,"1,010.83",-,505.25,-,"78,477.62"
90,"Duclos,Hon. Jean-Yves",Active,Québec,36km²,"79,186","55,537.09",-,,"1,759.29",-,-,-,-,-,"6,900.00",-,"4,148.88",170.00,,-,-,-,,"14,576.80",-,-,-,"1,176.42",360.83,-,"2,319.60",-,"86,948.91"
91,"Duguid,Terry",Active,Winnipeg South,105km²,"69,567","50,335.93",-,,750.70,507.68,-,-,-,-,-,-,-,"2,695.01",,-,-,-,,"9,404.30",189.99,-,100.00,708.94,360.83,-,279.96,-,"65,333.34"
92,"Duncan,Eric",Active,Stormont—Dundas—South Glengarry,"2,765km²","84,983","53,213.24",240.66,,-,-,-,-,-,-,-,-,-,-,,-,-,450.00,,"13,187.00",-,-,142.73,378.30,-,275.35,33.00,-,"67,920.28"
93,"Duncan,Hon. Kirsty",Active,Etobicoke North,51km²,"75,415","56,349.68",798.33,,434.96,-,-,-,-,41.43,187.82,-,-,-,,-,-,-,,"11,559.15",-,-,-,398.84,"1,814.83",-,-,-,"71,585.04"
94,"Duvall,Scott",Active,Hamilton Mountain,35km²,"81,698","48,286.60","3,210.00",,"1,368.05",558.02,-,"1,534.50",-,983.04,"7,177.10",-,-,"1,456.37",,-,-,-,,"7,681.91",-,-,"1,724.54","2,371.87",169.00,15.91,-,-,"76,536.91"
95,"Dzerowicz,Julie",Active,Davenport,13km²,"82,047","44,695.57","4,555.44",,-,-,-,-,-,-,-,-,-,"3,366.00",,-,"2,762.92",-,,"14,000.00",-,-,-,851.09,360.83,565.66,4.75,-,"71,162.26"
96,"Easter,Hon. Wayne",Active,Malpeque,"1,663km²","30,576","61,194.88",-,,-,-,-,-,-,-,-,-,-,"2,460.96",,-,-,-,,"5,059.80",-,285.71,-,891.57,360.83,-,631.30,-,"70,885.05"
97,"Ehsassi,Ali",Active,Willowdale,21km²,"79,367","36,208.60","1,938.90",,-,-,-,90.59,-,-,-,-,-,766.80,,-,-,-,,"14,400.00",89.96,263.09,"3,101.54",758.00,360.83,-,463.15,-,"58,441.46"
98,"El-Khoury,Fayçal",Active,Laval—Les Îles,47km²,"83,496","49,791.61",-,,-,-,-,-,-,-,"7,700.00",-,-,"1,920.17",,-,-,-,,-,-,-,-,480.65,360.83,-,-,-,"60,253.26"
99,"Ellis,Neil",Active,Bay of Quinte,"2,000km²","94,197","54,370.66",100.00,,-,-,-,-,-,-,"8,034.72",-,-,"1,373.46",,-,-,-,,"10,232.58",450.00,-,"2,051.70",706.18,810.83,-,79.37,-,"78,209.50"
100,"Epp,Dave",Active,Chatham-Kent—Leamington,"2,183km²","86,586","44,177.68",-,,"1,342.00",-,-,"4,347.18",-,491.52,"6,600.00",-,-,"9,024.23",,-,-,94.98,,"11,076.00",-,-,"2,102.00","1,147.48",-,460.03,654.97,-,"81,518.07"
101,"Erskine-Smith,Nathaniel",Active,Beaches—East York,17km²,"81,842","51,819.80","1,640.04",,440.77,-,-,395.29,-,-,"3,129.18",-,-,"2,144.18",,-,"4,240.50",50.00,,"9,634.25",-,-,822.74,955.76,-,274.80,"7,298.56",79.67,"82,925.54"
102,"Falk,Rosemarie",Active,Battlefords—Lloydminster,"30,125km²","51,893","49,693.23",408.14,,"4,973.31",-,-,-,-,491.52,709.32,-,-,"4,389.03",,"3,176.74",-,-,,"7,077.90",-,-,18.01,790.18,-,187.30,"3,456.91",-,"75,371.59"
103,"Falk,Ted",Active,Provencher,"18,773km²","71,676","52,138.28",171.78,,22.56,-,-,642.45,-,-,-,283.56,130.00,"4,784.48",,"4,669.48",-,"1,174.86",,"4,190.00",-,-,"3,384.76","1,000.83","1,239.95",15.45,415.44,-,"74,263.88"
104,"Fast,Hon. Ed",Active,Abbotsford,176km²,"75,474","62,301.85","4,436.06",,-,-,-,"1,256.97",-,-,"7,036.43",186.20,-,"3,024.25",,-,-,-,,"12,872.41",22.44,-,"1,976.09",797.98,765.27,-,427.68,-,"95,103.63"
105,"Fergus,Greg",Active,Hull—Aylmer,65km²,"79,609","38,883.37",656.00,,333.02,-,-,-,-,-,-,200.00,-,"3,035.00",,-,-,-,,"18,674.78",412.12,101.37,327.20,690.90,360.83,-,588.39,-,"64,262.98"
106,"Fillmore,Andy",Active,Halifax,244km²,"76,843","46,955.72",359.88,,-,-,-,342.90,-,-,"6,953.76",-,-,950.00,,-,-,414.34,,"7,497.00",-,-,105.25,"1,491.97",360.83,902.04,714.18,-,"67,047.87"
107,"Findlay,Hon. Kerry-Lynne",Active,South Surrey—White Rock,154km²,"84,664","45,304.50","1,803.63",,"4,920.39","5,641.85",-,-,-,612.47,"8,800.00",-,-,"4,772.60",,"5,908.54",-,-,,"19,775.00",-,-,41.00,863.26,-,28.00,455.22,-,"98,926.46"
108,"Finley,Hon. Diane",Active,Haldimand—Norfolk,"3,061km²","91,557","58,952.94",315.00,,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"6,600.00",-,-,-,915.35,-,-,-,-,"66,783.29"
109,"Finnigan,Pat",Active,Miramichi—Grand Lake,"17,420km²","48,570","38,493.41",-,,-,-,-,-,-,-,"6,544.74",-,-,"4,992.56",,-,-,-,,"8,000.00",-,-,73.49,"2,111.26",360.83,-,279.85,-,"60,856.14"
110,"Fisher,Darren",Active,Dartmouth—Cole Harbour,102km²,"77,390","41,444.33",-,,-,-,-,-,-,-,"7,000.00",-,-,290.00,,-,-,-,,"10,776.68",531.06,-,-,"1,042.06",360.83,45.00,-,-,"61,489.96"
111,"Fonseca,Peter",Active,Mississauga East—Cooksville,34km²,"86,191","28,272.43",-,,466.38,-,-,-,-,-,-,-,-,-,,-,-,-,,"19,083.03",-,-,"1,952.48",754.42,698.83,432.29,-,-,"51,659.86"
112,"Fortier,Hon. Mona",Active,Ottawa—Vanier,41km²,"92,837","70,655.11",-,,-,-,-,-,-,-,-,-,-,803.40,,-,-,-,,"10,500.00",-,-,"4,347.29",722.41,529.83,-,280.98,-,"87,839.02"
113,"Fortin,Rhéal",Active,Rivière-du-Nord,381km²,"96,054","30,411.92",-,,472.84,-,-,-,-,212.28,"7,649.28",-,-,"2,368.09",,-,"7,307.34",-,,"9,994.75",-,-,44.99,458.09,169.00,517.31,609.02,-,"60,214.91"
114,"Fragiskatos,Peter",Active,London North Centre,63km²,"98,039","42,365.07","13,654.50",,-,-,-,-,-,-,-,-,-,"37,175.52",,"10,009.19",-,"2,908.89",,"10,744.34",-,630.00,153.00,575.75,558.82,564.00,"3,828.08",-,"123,167.16"
115,"Fraser,Sean",Active,Central Nova,"10,347km²","60,955","52,895.70","2,806.25",,-,-,-,"1,535.80",-,-,-,-,-,"1,133.68",,-,-,-,,"5,000.00",-,-,"2,010.00",954.92,360.83,492.52,103.87,-,"67,293.57"
116,"Freeland,Hon. Chrystia",Active,University—Rosedale,14km²,"83,485","39,347.28",-,,-,-,-,527.80,-,-,-,-,-,-,,-,-,-,,"12,761.68",-,-,100.00,713.00,360.83,-,357.60,-,"54,168.19"
117,"Fry,Hon. Hedy",Active,Vancouver Centre,14km²,"92,243","41,777.84","2,086.59",,845.56,-,-,957.10,-,-,"4,085.84",-,-,"8,285.77",,-,-,37.45,,"6,483.32",-,73.06,158.00,"1,203.41",360.83,85.71,"1,213.52",-,"67,654.00"
118,"Gallant,Cheryl",Active,Renfrew—Nipissing—Pembroke,"12,583km²","86,387","52,103.65","2,128.00",,"3,240.52",-,-,-,-,"1,179.60",-,69.96,-,50.00,,"7,928.40",-,-,,"8,940.72",-,-,"3,685.91",517.30,-,466.99,"2,499.63",-,"82,810.68"
119,"Garneau,Hon. Marc",Active,Notre-Dame-de-Grâce—Westmount,17km²,"76,649","32,857.16","1,007.90",,-,-,-,-,-,-,-,-,-,"4,122.12",,"4,934.00",-,-,,"12,920.00",-,-,-,465.51,360.83,45.02,314.36,-,"57,026.90"
120,"Garrison,Randall",Active,Esquimalt—Saanich—Sooke,404km²,"100,238","57,836.36",-,,-,-,-,-,-,-,"5,932.00",-,-,"5,283.72",,-,-,-,,"16,558.72",-,-,-,941.71,-,207.24,-,-,"86,759.75"
121,"Gaudreau,Marie-Hélène",Active,Laurentides—Labelle,"19,694km²","100,509","48,028.13",766.60,,183.80,-,-,-,-,165.94,279.83,17.99,58.95,"10,263.25",,"4,989.19",-,-,,"9,774.84",428.83,-,"1,303.66",796.36,735.00,-,"1,353.15",-,"79,145.52"
122,"Gazan,Leah",Active,Winnipeg Centre,29km²,"59,762","52,933.74",756.61,,-,-,-,-,-,-,"6,100.00",125.00,-,"2,311.67",,-,-,-,,"8,109.28",-,-,"4,133.54",957.76,169.00,-,500.00,-,"76,096.60"
123,"Généreux,Bernard",Active,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,"7,495km²","78,461","45,642.22","1,105.00",,"2,409.91",-,-,-,-,328.21,"5,278.23",-,-,"9,100.60",,-,-,-,,"10,390.26",-,53.38,"1,741.10","1,040.08",669.98,26.76,613.17,-,"78,398.90"
124,"Genuis,Garnett",Active,Sherwood Park—Fort Saskatchewan,"1,271km²","96,171","57,772.04","5,500.00",,242.71,-,-,-,-,-,"7,600.00",-,-,"3,699.34",,-,-,-,,"12,875.04",-,-,"2,103.27",652.64,-,-,45.54,-,"90,490.58"
125,"Gerretsen,Mark",Active,Kingston and the Islands,434km²,"98,921","65,670.47",500.00,,562.50,-,-,-,-,230.71,"6,483.33",-,-,"6,728.04",,-,-,-,,"10,107.62",-,344.92,"1,533.52",567.05,"1,604.83",255.00,"2,730.72",-,"97,318.71"
126,"Gill,Marilène",Active,Manicouagan,"264,226km²","72,431","45,937.04","1,398.65",,"2,557.98",-,-,"8,916.77",671.56,"1,885.52","5,574.98",536.10,"1,510.00","15,709.00",,-,-,"1,159.20",,"22,976.83","1,953.99",-,954.67,"1,501.88",800.00,"1,024.84","1,932.79",-,"117,001.80"
127,"Gladu,Marilyn",Active,Sarnia—Lambton,"1,568km²","85,266","58,880.73",251.70,,-,-,-,-,-,-,"7,512.90",-,-,"3,972.01",,-,-,-,,"12,408.83",-,659.33,"1,833.33",340.85,-,-,"1,431.77",-,"87,291.45"
128,"Godin,Joël",Active,Portneuf—Jacques-Cartier,"7,617km²","93,183","52,364.81",930.00,,"1,676.34",-,-,-,-,113.53,"5,382.64","1,952.11",-,"1,000.00",,-,-,-,,"9,468.00",275.99,-,"1,614.99","1,120.68",185.00,130.93,990.48,-,"77,205.50"
129,"Gould,Hon. Karina",Active,Burlington,84km²,"100,201","59,422.73","1,147.33",,-,-,-,-,-,-,-,-,-,"2,100.00",,-,-,-,,"9,709.01",-,-,173.54,700.70,529.83,-,-,-,"73,783.14"
130,"Gourde,Jacques",Active,Lévis—Lotbinière,"2,123km²","89,779","37,938.57","11,086.30",,"1,929.52",-,-,-,-,589.82,"6,025.69",633.39,-,"2,898.00",,-,-,-,,"7,500.00",-,-,"9,580.00","1,067.61",-,-,9.50,-,"79,258.40"
131,"Gray,Tracy",Active,Kelowna—Lake Country,"1,670km²","101,507","50,794.87","3,835.00",,"1,006.31",-,-,-,-,-,"8,445.15",114.47,-,"4,061.00",,-,-,-,,"12,400.00",-,-,133.54,"1,013.57",544.85,-,"2,847.01",-,"85,195.77"
132,"Green,Matthew",Active,Hamilton Centre,32km²,"75,371","73,862.26","1,150.00",,"1,063.42",225.00,-,-,-,681.70,"7,420.25",-,-,249.00,,-,-,-,,"13,027.28",-,-,-,"1,360.02",830.00,26.49,"1,302.40",-,"101,197.82"
133,"Guilbeault,Hon. Steven",Active,Laurier—Sainte-Marie,11km²,"83,085","47,436.99",-,,-,-,-,-,-,946.17,"6,800.00",-,-,"3,040.00",,-,-,-,,"11,480.32",-,-,91.97,673.81,360.83,-,-,-,"70,830.09"
134,"Hajdu,Hon. Patty",Active,Thunder Bay—Superior North,"87,965km²","66,579","57,251.96",399.25,,-,-,-,-,-,-,"8,000.00",-,-,"4,155.15",,-,-,-,,"12,539.49",239.99,-,"5,760.00","1,015.89",360.83,108.84,378.01,-,"90,209.41"
135,"Hallan,Jasraj Singh",Active,Calgary Forest Lawn,53km²,"75,683","48,941.68",-,,"9,026.96",-,-,"1,912.40",-,-,"8,000.00",-,-,"1,085.00",,"7,423.83",-,-,,"12,000.00",-,-,"1,796.52",490.09,169.00,-,"1,320.75",-,"92,166.23"
136,"Harder,Rachael",Active,Lethbridge,"3,028km²","90,051","62,954.76",789.27,,"4,574.13",-,-,"1,770.45",-,589.82,"6,331.68",790.09,-,329.00,,"2,008.55",-,298.10,,"11,108.51",-,-,"9,931.90","1,423.74",260.00,308.42,450.88,-,"103,919.30"
137,"Hardie,Ken",Active,Fleetwood—Port Kells,74km²,"81,198","55,556.38",330.00,,"2,256.74","2,256.74",-,456.32,-,-,"3,379.72",-,-,"2,914.38",,-,"4,142.06",-,,"14,249.66",-,-,-,"1,783.19",360.83,574.78,"1,263.28",-,"89,524.08"
138,"Harris,Jack",Active,St. John's East,363km²,"67,406","50,948.30",-,,-,-,-,-,-,-,-,68.60,-,598.00,,-,-,-,,"13,064.48",319.99,-,-,889.81,-,41.89,797.31,-,"66,728.38"
139,"Hoback,Randy",Active,Prince Albert,"18,927km²","58,367","51,741.59",-,,"1,913.30",-,-,-,-,494.67,160.33,-,-,"1,059.00",,-,-,-,,"13,227.88",270.73,100.00,802.91,"1,717.24","1,127.84",53.53,959.67,-,"73,628.69"
140,"Holland,Hon. Mark",Active,Ajax,71km²,"93,215","61,141.66","1,078.95",,"2,678.40",-,-,-,-,"1,081.34","3,050.00",-,-,-,,"6,387.34",-,-,,"13,539.84",-,-,"1,290.29","1,222.66",529.83,352.29,77.43,-,"92,430.03"
141,"Housefather,Anthony",Active,Mount Royal,23km²,"73,273","44,767.76",80.00,,181.43,-,-,-,-,-,-,26.39,-,"7,037.02",,-,-,-,,"10,463.52",-,-,"2,010.00","1,035.16",360.83,-,"1,423.18",-,"67,385.29"
142,"Hughes,Carol",Active,Algoma—Manitoulin—Kapuskasing,"100,103km²","65,906","65,267.40","1,050.68",,"1,418.06",-,-,-,-,844.04,"6,520.00",-,-,"1,394.74",,-,-,-,,"9,972.38",-,16.40,"6,478.00",358.48,-,24.91,319.76,-,"93,664.85"
143,"Hussen,Hon. Ahmed",Active,York South—Weston,26km²,"79,364","51,684.70",215.00,,333.02,-,-,-,-,-,-,-,-,105.00,,-,-,-,,"10,593.92",-,-,-,541.23,360.83,-,104.16,-,"63,937.86"
144,"Hutchings,Gudie",Active,Long Range Mountains,"41,606km²","70,688","60,160.15",267.00,,"1,123.73",944.67,-,"1,404.83",-,-,"3,274.92",-,-,"3,639.00",,"3,648.09",-,-,,"12,279.64",-,-,"3,631.45","1,313.88",360.83,-,46.50,-,"92,094.69"
145,"Iacono,Angelo",Active,Alfred-Pellan,116km²,"79,355","45,900.22",430.00,,738.40,-,-,-,-,784.00,626.41,471.08,-,"9,224.27",,-,"4,419.25",342.18,,"15,739.68",-,-,40.00,"1,214.47",360.83,516.67,733.46,-,"81,540.92"
146,"Jaczek,Helena",Active,Markham—Stouffville,299km²,"95,461","49,264.00",-,,-,-,-,-,-,-,"3,700.00",132.15,-,"2,691.00",,"2,682.55",-,-,,"10,718.04",-,-,-,737.70,360.83,-,21.16,-,"70,307.43"
147,"Jansen,Tamara",Active,Cloverdale—Langley City,60km²,"86,610","49,090.03","6,810.52",,"4,568.42","2,256.74",-,"1,974.46",-,-,"10,400.00",-,-,-,,"8,656.21",-,12.01,,"14,751.78",210.46,-,-,482.83,-,-,155.25,-,"99,368.71"
148,"Jeneroux,Matt",Active,Edmonton Riverbend,60km²,"87,305","47,482.57","9,594.96",,"2,751.07",-,-,-,-,196.61,"7,126.02",259.90,-,-,,"7,365.69","3,791.74",-,,"18,042.16",154.78,5.00,"1,964.27","1,404.82",169.00,295.17,406.26,-,"101,010.02"
149,"Johns,Gord",Active,Courtenay—Alberni,"8,571km²","101,731","51,384.60","5,244.40",,"4,416.62",-,-,-,-,390.31,"3,181.98",-,-,"5,088.09",,-,-,-,,"12,212.97",-,-,"4,000.00","1,431.61",-,-,72.60,51.83,"87,475.01"
150,"Joly,Hon. Mélanie",Active,Ahuntsic-Cartierville,22km²,"83,384","52,294.17",-,,-,-,-,-,-,-,"6,600.00",-,-,"1,885.29",,-,-,-,,"11,200.00",-,-,-,"1,416.15",360.83,-,-,-,"73,756.44"
151,"Jones,Yvonne",Active,Labrador,"294,330km²","20,184","52,464.36",-,,-,-,-,-,-,-,-,-,-,"2,959.00",,-,-,-,,"15,800.00",-,-,"1,770.95","1,537.23",360.83,-,204.87,-,"75,097.24"
152,"Jordan,Hon. Bernadette",Active,South Shore—St. Margarets,"9,855km²","78,470","55,947.92",-,,-,-,-,-,-,-,"7,740.00",-,-,"1,243.90",,-,-,-,,"6,800.00",-,-,-,"1,446.98",360.83,-,139.18,-,"73,678.81"
153,"Jowhari,Majid",Active,Richmond Hill,42km²,"85,075","45,634.38",233.01,,866.16,-,-,-,-,227.14,"6,960.00",-,-,"1,234.00",,-,-,-,,"16,996.04",-,-,73.00,"3,690.71",529.83,-,21.90,-,"76,466.17"
154,"Julian,Peter",Active,New Westminster—Burnaby,29km²,"86,544","58,561.71",6.37,,-,-,-,-,-,-,"6,940.00",564.99,-,400.00,,"12,798.00",-,-,,"18,030.43",-,-,-,721.86,585.00,-,16.50,-,"98,624.86"
155,"Kelloway,Mike",Active,Cape Breton—Canso,"10,039km²","60,699","54,995.35",-,,"1,224.86",-,-,-,-,-,-,-,70.00,"2,502.12",,-,-,-,,"4,493.93",149.99,-,200.00,909.65,"1,569.27",-,"1,240.54",-,"67,355.71"
156,"Kelly,Pat",Active,Calgary Rocky Ridge,90km²,"98,738","52,514.08",20.00,,"5,114.31",-,-,-,-,156.29,"5,440.00",-,103.95,-,,-,-,-,,"13,993.94",-,-,"1,920.88",652.00,-,-,3.30,-,"79,918.75"
157,"Kent,Hon. Peter",Active,Thornhill,66km²,"85,005","61,716.73",-,,426.40,-,-,-,-,-,"3,400.00",-,-,-,,-,-,-,,"4,455.94",-,-,-,420.37,-,-,3.75,-,"70,423.19"
158,"Khalid,Iqra",Active,Mississauga—Erin Mills,36km²,"88,722","54,052.40","1,047.06",,350.11,-,-,-,-,-,"7,200.00",-,-,"2,550.00",,-,-,-,,"13,814.84",-,-,"1,894.54","1,192.51","5,054.83",85.00,"1,249.00",-,"88,490.29"
159,"Khera,Kamal",Active,Brampton West,61km²,"88,166","31,474.23","1,800.00",,333.02,-,-,-,-,-,"7,600.00",-,-,400.00,,-,"1,567.56",-,,"10,642.62",-,-,-,599.33,360.83,237.07,-,-,"55,014.66"
160,"Kitchen,Robert",Active,Souris—Moose Mountain,"43,184km²","52,708","43,492.31",-,,"2,670.00",-,-,-,-,491.52,"6,595.32",-,-,"6,978.60",,-,-,-,,"9,260.00",278.78,-,-,790.57,-,-,28.70,-,"70,585.80"
161,"Kmiec,Tom",Active,Calgary Shepard,186km²,"112,660","41,421.30",838.00,,"18,028.29",-,-,-,-,"1,589.33","3,568.61",-,-,"8,594.00",,"10,339.58",-,-,,"10,500.00",-,-,"2,262.99",438.73,-,132.33,"1,815.95",-,"99,529.11"
162,"Koutrakis,Annie",Active,Vimy,35km²,"88,462","52,262.26","13,836.76",,774.07,66.08,-,82.28,-,528.62,"9,500.00",726.34,47.00,"6,319.70",,-,-,-,,"16,474.18",123.97,-,-,322.75,390.92,275.10,45.30,-,"101,775.33"
163,"Kram,Michael",Active,Regina—Wascana,63km²,"60,451","34,374.06","22,183.34",,"1,284.90",-,-,-,-,-,-,-,-,-,,"6,330.00",-,-,,"13,233.40",-,-,-,398.76,-,-,98.82,-,"77,903.28"
164,"Kurek,Damien",Active,Battle River—Crowfoot,"53,072km²","83,140","52,434.30","5,116.36",,"6,302.03",-,-,691.59,-,"1,548.29","2,076.53",137.03,126.00,"9,194.51",,-,-,-,,"8,380.81",701.45,-,19.99,644.96,-,13.76,"1,376.23",-,"88,763.84"
165,"Kusie,Stephanie",Active,Calgary Midnapore,87km²,"94,245","59,038.52","1,468.84",,"2,414.40",-,-,"1,039.25",-,424.11,"1,044.02",16.42,-,500.00,,"9,088.77",-,-,,"12,173.30",-,155.97,"5,308.08",901.95,507.00,35.40,75.51,-,"94,191.54"
